Header id: 	af243246	56fe1289	9078bc29	80340101
03/04/2022 22:24:13
Sample frequency:	999 (Hz)
6 column(s):	SENSOR_TIMESTAMP(ns)	uint64	(8)	SYSTEM_RELATIVE_TIMESTAMP(ms)	uint64	(8)	GYR_CALIB_X(rad/s)	float	(4) 	GYR_CALIB_Y(rad/s)	float	(4) 	GYR_CALIB_Z(rad/s)	float	(4)	ACCURACY	float	(4)	

Calib id: 	af243246	56fe1289	9078bc29	80360200
Calib datetime:	03/04/2022 22:24:13
Calib version:	2
Number of Calibration coefficient:	1
SYSTEM_REFERENCE_TIMESTAMP(ms)	double	(1, 1)
1648995853180

Data id: 	af243246	56fe1289	9078bc29	80350100	
9808135823507077	224	-0.7754149	0.101211645	-0.24820328	3	
9808135825503952	226	-0.7715926	0.0895703	-0.25132743	3	
9808135827500827	228	-0.76845104	0.07881907	-0.25385815	3	
9808135829500827	230	-0.7652745	0.068451814	-0.2555162	3	
9808135831500827	232	-0.762098	0.057927478	-0.2568252	3	
9808135833500827	234	-0.7601607	0.048904125	-0.25830874	3	
9808135835500827	236	-0.758747	0.03954916	-0.2589196	3	
9808135837500827	238	-0.75722855	0.02942625	-0.258204	3	
9808135839500827	240	-0.7559719	0.018989183	-0.2576106	3	
9808135841500827	242	-0.75546575	0.008115781	-0.2570521	3	
9808135843500827	244	-0.7555705	-0.0026005406	-0.2558827	3	
9808135845500827	246	-0.75562286	-0.013910274	-0.25539404	3	
9808135847500827	248	-0.7562686	-0.025778513	-0.2555162	3	
9808135849500827	250	-0.75778705	-0.038501963	-0.25556856	3	
9808135851500827	252	-0.759672	-0.051888637	-0.2549577	3	
9808135853500827	254	-0.76171404	-0.064594634	-0.25471336	3	
9808135855500827	256	-0.7644193	-0.07702138	-0.2555511	3	
9808135857500827	258	-0.7683812	-0.08840092	-0.2565285	3	
9808135859500827	260	-0.77250016	-0.098087505	-0.25850073	3	
9808135861500827	262	-0.7773522	-0.10676179	-0.26214844	3	
9808135863516452	264	-0.7827802	-0.114388876	-0.26647687	3	
9808135865500827	266	-0.78752744	-0.12128293	-0.27106708	3	
9808135867500827	268	-0.79260635	-0.12756611	-0.2761111	3	
9808135869500827	270	-0.79721403	-0.13295919	-0.2816263	3	
9808135871500827	272	-0.8009665	-0.13674654	-0.28797933	3	
9808135873500827	274	-0.804719	-0.13922492	-0.29529226	3	
9808135875500827	276	-0.80812234	-0.14243633	-0.30300662	3	
9808135877527389	278	-0.81110686	-0.14533357	-0.31087804	3	
9808135879500827	280	-0.81356776	-0.14618878	-0.31881928	3	
9808135881500827	282	-0.8158367	-0.14590952	-0.32679546	3	
